id,landing_id,harvest_system_id,work_required,earliest_start,latest_finish,avg_stem_size_m3,volume_per_ha_m3,stem_density_per_ha,ground_slope_percent,volume_per_ha_m3_sigma,stem_density_per_ha_sigma
B42891,L01,ground_fb_loader_liveheel,16531.515241,1,112,0.266127,209.623737,787.684211,12.291017,41.924747,157.536842
B44010,L02,ground_fb_loader_liveheel,16417.589229,1,112,0.501336,201.2865,401.5,4.068356,40.2573,80.3
B45231,L03,ground_fb_loader_liveheel,4342.646397,1,112,0.594527,234.838,395.0,0.931257,46.9676,79.0
B53160,L04,ground_fb_loader_liveheel,5254.566463,1,112,0.275104,177.8545,646.5,2.711849,35.5709,129.3
B55424,L05,ground_fb_loader_liveheel,20477.680336,1,112,0.234462,198.76525,847.75,9.463012,39.75305,169.55
B65573,L06,ground_fb_loader_liveheel,4899.965234,1,112,0.89841,168.901,188.0,24.77653,33.7802,37.6
B68233,L07,ground_fb_loader_liveheel,49962.424808,1,112,0.661386,303.411,458.75,20.289729,60.6822,91.75
B107189,L08,ground_fb_loader_liveheel,33010.244325,1,112,0.349724,253.772545,725.636364,33.877222,50.754509,145.127273
B108060,L09,ground_fb_loader_liveheel,10483.978308,1,112,0.353085,206.319333,584.333333,12.443338,41.263867,116.866667
B108124,L10,ground_fb_loader_liveheel,14612.148452,1,112,0.54945,321.742,585.571429,11.617335,64.3484,117.114286
B108339,L11,ground_fb_loader_liveheel,18887.153315,1,112,0.279074,208.786857,748.142857,14.101803,41.757371,149.628571
B109340,L12,ground_fb_loader_liveheel,35996.429989,1,112,0.906933,282.257778,311.222222,21.952928,56.451556,62.244444
B109517,L13,ground_fb_loader_liveheel,3869.038871,1,112,0.590413,339.7825,575.5,37.240141,67.9565,115.1
B109915,L14,ground_fb_loader_liveheel,129468.225896,1,112,0.639515,364.894053,570.578947,13.184876,72.978811,114.115789
B110288,L15,ground_fb_loader_liveheel,78298.689098,1,112,0.68564,297.592429,434.035714,15.462845,59.518486,86.807143
B110471,L16,ground_fb_loader_liveheel,47256.715539,1,112,0.585441,236.9865,404.8,9.598033,47.3973,80.96
B111410,L17,ground_fb_loader_liveheel,28860.331609,1,112,0.501948,327.27,652.0,12.221678,65.454,130.4
B111480,L18,ground_fb_loader_liveheel,39132.933656,1,112,0.884028,284.325375,321.625,4.322925,56.865075,64.325
B111867,L19,ground_fb_loader_liveheel,4161.592807,1,112,1.092067,324.344,297.0,11.754537,64.8688,59.4
B112038,L20,ground_fb_loader_liveheel,19768.048643,1,112,0.230929,213.1936,923.2,16.547694,42.63872,184.64
B112990,L21,ground_fb_loader_liveheel,29401.172479,1,112,0.610381,236.141,386.875,20.364599,47.2282,77.375
B113324,L22,ground_fb_loader_liveheel,52334.969779,1,112,0.574284,251.536333,438.0,9.100643,50.307267,87.6
B114477,L23,ground_fb_loader_liveheel,17236.372343,1,112,0.35997,210.5822,585.0,29.188102,42.11644,117.0
B114861,L24,ground_fb_loader_liveheel,1380.976165,1,112,0.345234,206.45,598.0,4.656284,41.29,119.6
B117387,L25,ground_fb_loader_liveheel,1043.283153,1,112,0.305598,156.466,512.0,34.160861,31.2932,102.4
B120266,L26,ground_fb_loader_liveheel,89613.258588,1,112,0.489844,225.596871,460.548387,10.228924,45.119374,92.109677
B121154,L27,ground_fb_loader_liveheel,5890.409374,1,112,1.602862,488.873,305.0,18.194038,97.7746,61.0
B121455,L28,ground_fb_loader_liveheel,18171.507927,1,112,0.745643,350.452,470.0,17.991392,70.0904,94.0
B121928,L29,ground_fb_loader_liveheel,20058.848522,1,112,0.625231,336.8742,538.8,9.389273,67.37484,107.76
B123357,L30,ground_fb_loader_liveheel,2390.297303,1,112,0.340268,167.412,492.0,1.078603,33.4824,98.4
B124193,L31,ground_fb_loader_liveheel,14282.660473,1,112,0.908639,313.25325,344.75,13.574029,62.65065,68.95
B124453,L32,ground_fb_loader_liveheel,8488.624282,1,112,0.773109,332.437,430.0,15.21296,66.4874,86.0
B124540,L33,ground_fb_loader_liveheel,2286.795935,1,112,0.300828,215.694,717.0,8.665293,43.1388,143.4
B126413,L34,ground_fb_loader_liveheel,38249.064937,1,112,0.352634,312.081,885.0,11.355972,62.4162,177.0
B126492,L35,ground_fb_loader_liveheel,10139.510522,1,112,0.190282,193.041,1014.5,11.64707,38.6082,202.9
B126589,L36,ground_fb_loader_liveheel,133711.984499,1,112,0.407695,289.667462,710.5,15.965456,57.933492,142.1
B126869,L37,ground_fb_loader_liveheel,40006.637422,1,112,0.618512,246.941,399.25,15.138887,49.3882,79.85
B127158,L38,ground_fb_loader_liveheel,162059.265252,1,112,0.390918,249.774327,638.942308,13.404269,49.954865,127.788462
B129183,L39,ground_fb_loader_liveheel,8488.624282,1,112,0.773109,332.437,430.0,11.77957,66.4874,86.0
B145584,L40,ground_fb_loader_liveheel,72517.219654,1,112,0.425726,216.572857,508.714286,20.645119,43.314571,101.742857
