machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B77363,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B81877,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B77363,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B79027,1,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B76352,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B79027,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B77718,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,2,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B77363,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B81877,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78910,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B77363,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B79027,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B80395,3,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B76352,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B77363,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78910,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78910,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B79027,4,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B79027,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B81877,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B77718,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B77718,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B80395,5,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B77363,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B81877,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B77363,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B76319,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,6,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B76319,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B77252,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B79027,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B78567,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_03,B79027,7,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B77363,8,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B78910,8,1,MASc KA 18 blocks,sa,56,56,1,1
fb_01,B81877,8,1,MASc KA 18 blocks,sa,56,56,1,1
fb_02,B78567,8,1,MASc KA 18 blocks,sa,56,56,1,1
