machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B107189,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108060,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108124,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B126492,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B126589,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B126869,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B120266,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B121928,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B126413,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B108339,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B110471,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B45231,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B110288,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B113324,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B145584,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B109915,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B127158,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B145584,1,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B107189,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108060,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108124,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B109915,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B113324,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B124193,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B110288,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B112038,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B113324,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B113324,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B126589,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B126869,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B110288,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B110471,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B113324,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B109915,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B110288,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B120266,2,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B107189,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108060,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B127158,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B110288,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B120266,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B42891,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B109340,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B109915,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B145584,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B110471,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B111410,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B68233,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B113324,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B120266,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B121154,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B121154,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B126589,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B145584,3,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B107189,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108124,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B127158,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B109915,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B55424,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B68233,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B107189,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B55424,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B68233,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B145584,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B42891,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B65573,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B110471,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B113324,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B120266,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B120266,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B127158,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B42891,4,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B107189,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108060,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108124,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B111480,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B112038,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B126589,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B126869,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B127158,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_03,B127158,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B111480,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B111480,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_04,B112990,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B120266,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B126589,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_05,B126589,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B109915,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B126869,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_06,B127158,5,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B107189,6,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B108060,6,1,MASc PG 40 blocks,sa,56,56,1,1
fb_01,B127158,6,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B110288,6,1,MASc PG 40 blocks,sa,56,56,1,1
fb_02,B110471,6,1,MASc PG 40 blocks,sa,56,56,1,1
