machine_id,block_id,day,shift_id,assigned
fb_01,B77363,1,S1,1
fb_02,B79027,1,S1,1
fb_03,B79027,1,S1,1
fb_01,B78910,1,S2,1
fb_02,B78567,1,S2,1
fb_03,B76319,1,S2,1
fb_01,B81877,1,S3,1
fb_02,B77363,1,S3,1
fb_03,B78567,1,S3,1
fb_01,B74735,2,S1,1
fb_02,B78567,2,S1,1
fb_03,B78567,2,S1,1
sk_01,B79027,2,S1,1
sk_02,B79027,2,S1,1
sk_03,B77363,2,S1,1
fb_01,B84093,2,S2,1
fb_02,B78567,2,S2,1
fb_03,B78567,2,S2,1
sk_01,B77363,2,S2,1
sk_02,B81877,2,S2,1
sk_03,B77363,2,S2,1
fb_01,B77363,2,S3,1
fb_02,B78567,2,S3,1
fb_03,B77300,2,S3,1
sk_01,B78567,2,S3,1
sk_02,B77363,2,S3,1
sk_03,B78910,2,S3,1
fb_01,B78910,3,S1,1
fb_02,B83275,3,S1,1
fb_03,B83275,3,S1,1
pr_01,B78567,3,S1,1
pr_02,B79027,3,S1,1
pr_03,B77363,3,S1,1
sk_01,B77300,3,S1,1
sk_02,B78567,3,S1,1
sk_03,B77363,3,S1,1
fb_01,B81877,3,S2,1
fb_02,B83275,3,S2,1
fb_03,B83275,3,S2,1
pr_01,B79027,3,S2,1
pr_02,B77363,3,S2,1
pr_03,B81877,3,S2,1
sk_01,B78567,3,S2,1
sk_02,B77363,3,S2,1
sk_03,B78567,3,S2,1
fb_01,B82792,3,S3,1
fb_02,B83275,3,S3,1
fb_03,B80395,3,S3,1
pr_01,B77363,3,S3,1
sk_01,B78567,3,S3,1
sk_02,B84093,3,S3,1
sk_03,B84093,3,S3,1
fb_01,B77363,4,S1,1
fb_02,B78910,4,S1,1
fb_03,B80395,4,S1,1
ld_01,B77363,4,S1,1
ld_02,B77363,4,S1,1
ld_03,B79027,4,S1,1
pr_01,B78567,4,S1,1
pr_02,B77363,4,S1,1
pr_03,B77363,4,S1,1
sk_01,B81877,4,S1,1
sk_02,B78567,4,S1,1
sk_03,B78910,4,S1,1
fb_01,B77363,4,S2,1
fb_02,B80395,4,S2,1
fb_03,B80395,4,S2,1
ld_01,B77363,4,S2,1
ld_02,B79027,4,S2,1
pr_01,B78567,4,S2,1
pr_02,B78567,4,S2,1
pr_03,B84093,4,S2,1
sk_01,B82792,4,S2,1
sk_02,B83275,4,S2,1
sk_03,B83275,4,S2,1
fb_01,B78910,4,S3,1
fb_02,B80395,4,S3,1
fb_03,B80395,4,S3,1
pr_01,B77300,4,S3,1
pr_02,B78567,4,S3,1
sk_01,B83275,4,S3,1
sk_02,B83275,4,S3,1
sk_03,B78910,4,S3,1
fb_01,B82792,5,S1,1
fb_02,B80395,5,S1,1
fb_03,B80395,5,S1,1
ld_01,B78567,5,S1,1
ld_02,B78567,5,S1,1
ld_03,B77363,5,S1,1
pr_01,B78910,5,S1,1
pr_02,B78910,5,S1,1
pr_03,B81877,5,S1,1
sk_01,B77363,5,S1,1
sk_02,B77363,5,S1,1
sk_03,B77363,5,S1,1
fb_01,B74735,5,S2,1
fb_02,B81779,5,S2,1
fb_03,B81779,5,S2,1
ld_01,B77300,5,S2,1
ld_02,B78567,5,S2,1
ld_03,B77363,5,S2,1
pr_01,B78567,5,S2,1
pr_02,B82792,5,S2,1
pr_03,B83275,5,S2,1
sk_01,B77363,5,S2,1
sk_02,B78910,5,S2,1
sk_03,B78910,5,S2,1
fb_01,B78910,5,S3,1
fb_02,B81779,5,S3,1
fb_03,B77651,5,S3,1
ld_01,B84093,5,S3,1
pr_01,B83275,5,S3,1
pr_02,B83275,5,S3,1
pr_03,B81877,5,S3,1
sk_01,B78910,5,S3,1
sk_02,B78910,5,S3,1
sk_03,B80395,5,S3,1
fb_01,B82792,6,S1,1
fb_02,B77651,6,S1,1
fb_03,B77651,6,S1,1
ld_01,B78910,6,S1,1
ld_02,B83275,6,S1,1
ld_03,B78567,6,S1,1
pr_01,B77363,6,S1,1
pr_02,B77363,6,S1,1
pr_03,B77363,6,S1,1
sk_01,B81779,6,S1,1
sk_02,B81779,6,S1,1
sk_03,B78910,6,S1,1
fb_01,B77363,6,S2,1
fb_02,B78910,6,S2,1
fb_03,B77651,6,S2,1
ld_01,B81877,6,S2,1
ld_02,B81877,6,S2,1
pr_01,B78910,6,S2,1
pr_02,B78910,6,S2,1
pr_03,B78910,6,S2,1
sk_01,B78910,6,S2,1
sk_02,B82792,6,S2,1
sk_03,B80395,6,S2,1
fb_01,B78910,6,S3,1
fb_02,B77651,6,S3,1
fb_03,B77651,6,S3,1
pr_01,B78910,6,S3,1
pr_02,B83275,6,S3,1
pr_03,B83275,6,S3,1
sk_01,B80395,6,S3,1
sk_02,B80395,6,S3,1
sk_03,B83275,6,S3,1
fb_01,B82792,7,S1,1
fb_02,B77363,7,S1,1
fb_03,B77651,7,S1,1
ld_01,B78910,7,S1,1
ld_02,B78910,7,S1,1
ld_03,B78910,7,S1,1
pr_01,B78910,7,S1,1
pr_02,B78910,7,S1,1
pr_03,B82792,7,S1,1
sk_01,B78910,7,S1,1
sk_02,B78910,7,S1,1
sk_03,B77363,7,S1,1
fb_01,B77651,7,S2,1
fb_02,B77651,7,S2,1
fb_03,B77718,7,S2,1
ld_01,B77363,7,S2,1
ld_02,B83275,7,S2,1
ld_03,B78910,7,S2,1
pr_01,B83275,7,S2,1
pr_02,B80395,7,S2,1
pr_03,B80395,7,S2,1
sk_01,B77363,7,S2,1
sk_02,B77651,7,S2,1
sk_03,B77651,7,S2,1
fb_01,B76319,7,S3,1
fb_02,B77651,7,S3,1
fb_03,B74735,7,S3,1
ld_01,B77363,7,S3,1
ld_02,B77363,7,S3,1
pr_01,B80395,7,S3,1
pr_02,B80395,7,S3,1
pr_03,B81779,7,S3,1
sk_01,B77651,7,S3,1
sk_02,B78910,7,S3,1
sk_03,B82792,7,S3,1
fb_01,B77363,8,S1,1
fb_02,B74735,8,S1,1
fb_03,B77718,8,S1,1
ld_01,B78910,8,S1,1
ld_02,B80395,8,S1,1
ld_03,B82792,8,S1,1
pr_01,B77363,8,S1,1
pr_02,B77363,8,S1,1
pr_03,B78910,8,S1,1
sk_01,B78910,8,S1,1
sk_02,B74735,8,S1,1
sk_03,B77363,8,S1,1
fb_01,B77363,8,S2,1
fb_02,B74735,8,S2,1
fb_03,B74735,8,S2,1
ld_01,B80395,8,S2,1
ld_02,B83275,8,S2,1
pr_01,B82792,8,S2,1
pr_02,B78910,8,S2,1
pr_03,B82792,8,S2,1
sk_01,B77363,8,S2,1
sk_02,B77651,8,S2,1
sk_03,B77651,8,S2,1
fb_01,B77363,8,S3,1
fb_02,B74735,8,S3,1
fb_03,B74735,8,S3,1
pr_01,B77651,8,S3,1
pr_02,B80395,8,S3,1
pr_03,B83275,8,S3,1
sk_01,B77651,8,S3,1
sk_02,B82792,8,S3,1
sk_03,B82792,8,S3,1
fb_01,B77363,9,S1,1
fb_02,B74735,9,S1,1
fb_03,B84093,9,S1,1
ld_01,B78910,9,S1,1
ld_02,B77363,9,S1,1
ld_03,B78910,9,S1,1
pr_01,B82792,9,S1,1
pr_02,B77363,9,S1,1
pr_03,B77363,9,S1,1
sk_01,B74735,9,S1,1
sk_02,B74735,9,S1,1
