machine_id,block_id,day,shift_id,assigned
fb_01,B18200,1,S1,1
fb_02,B8121,1,S1,1
fb_01,B20631,1,S2,1
fb_02,B8121,1,S2,1
fb_01,B20673,1,S3,1
fb_02,B8121,1,S3,1
fb_01,B21443,2,S1,1
fb_02,B8121,2,S1,1
sk_01,B20673,2,S1,1
sk_02,B18200,2,S1,1
fb_01,B31203,2,S2,1
fb_02,B8121,2,S2,1
sk_01,B20673,2,S2,1
sk_02,B18200,2,S2,1
fb_01,B18200,2,S3,1
fb_02,B8121,2,S3,1
sk_01,B20673,2,S3,1
sk_02,B20631,2,S3,1
fb_01,B18200,3,S1,1
fb_02,B8121,3,S1,1
pr_01,B20673,3,S1,1
sk_01,B20673,3,S1,1
sk_02,B18200,3,S1,1
fb_01,B20673,3,S2,1
fb_02,B8121,3,S2,1
pr_01,B18200,3,S2,1
sk_01,B20673,3,S2,1
sk_02,B18200,3,S2,1
fb_01,B21443,3,S3,1
fb_02,B8121,3,S3,1
sk_01,B8121,3,S3,1
sk_02,B21443,3,S3,1
fb_01,B31203,4,S1,1
fb_02,B8121,4,S1,1
ld_01,B20673,4,S1,1
pr_01,B18200,4,S1,1
sk_01,B20673,4,S1,1
sk_02,B21443,4,S1,1
fb_01,B20673,4,S2,1
fb_02,B8121,4,S2,1
pr_01,B8121,4,S2,1
sk_01,B20673,4,S2,1
sk_02,B21443,4,S2,1
fb_01,B20631,4,S3,1
fb_02,B8121,4,S3,1
pr_01,B8121,4,S3,1
sk_01,B20673,4,S3,1
sk_02,B21443,4,S3,1
fb_01,B20673,5,S1,1
fb_02,B8121,5,S1,1
ld_01,B18200,5,S1,1
pr_01,B20673,5,S1,1
sk_01,B20673,5,S1,1
sk_02,B18200,5,S1,1
fb_01,B21443,5,S2,1
fb_02,B8121,5,S2,1
ld_01,B8121,5,S2,1
pr_01,B21443,5,S2,1
sk_01,B20673,5,S2,1
sk_02,B18200,5,S2,1
fb_01,B31203,5,S3,1
fb_02,B20673,5,S3,1
pr_01,B21443,5,S3,1
sk_01,B20673,5,S3,1
sk_02,B8121,5,S3,1
fb_01,B18200,6,S1,1
fb_02,B20673,6,S1,1
ld_01,B20673,6,S1,1
pr_01,B20673,6,S1,1
sk_01,B20673,6,S1,1
sk_02,B8121,6,S1,1
fb_01,B20631,6,S2,1
fb_02,B20673,6,S2,1
ld_01,B20673,6,S2,1
pr_01,B18200,6,S2,1
sk_01,B20673,6,S2,1
sk_02,B21443,6,S2,1
fb_01,B20673,6,S3,1
fb_02,B20673,6,S3,1
ld_01,B21443,6,S3,1
pr_01,B18200,6,S3,1
sk_01,B21443,6,S3,1
sk_02,B21443,6,S3,1
fb_01,B21443,7,S1,1
fb_02,B20673,7,S1,1
ld_01,B18200,7,S1,1
pr_01,B20673,7,S1,1
sk_01,B20673,7,S1,1
sk_02,B18200,7,S1,1
fb_01,B31203,7,S2,1
fb_02,B20673,7,S2,1
ld_01,B18200,7,S2,1
pr_01,B21443,7,S2,1
sk_01,B20673,7,S2,1
sk_02,B18200,7,S2,1
fb_01,B18200,7,S3,1
fb_02,B20673,7,S3,1
ld_01,B20673,7,S3,1
pr_01,B8121,7,S3,1
sk_01,B20673,7,S3,1
sk_02,B18200,7,S3,1
fb_01,B20631,8,S1,1
fb_02,B20673,8,S1,1
ld_01,B20673,8,S1,1
pr_01,B20673,8,S1,1
sk_01,B20673,8,S1,1
sk_02,B18200,8,S1,1
fb_01,B20673,8,S2,1
fb_02,B20673,8,S2,1
ld_01,B20673,8,S2,1
pr_01,B21443,8,S2,1
sk_01,B21443,8,S2,1
sk_02,B18200,8,S2,1
fb_01,B21443,8,S3,1
fb_02,B20673,8,S3,1
ld_01,B20673,8,S3,1
pr_01,B18200,8,S3,1
sk_01,B20673,8,S3,1
sk_02,B21443,8,S3,1
fb_01,B18200,9,S1,1
fb_02,B20673,9,S1,1
ld_01,B18200,9,S1,1
pr_01,B20673,9,S1,1
sk_01,B20673,9,S1,1
sk_02,B21443,9,S1,1
fb_01,B18200,9,S2,1
fb_02,B20673,9,S2,1
ld_01,B20673,9,S2,1
pr_01,B21443,9,S2,1
sk_01,B20673,9,S2,1
sk_02,B21443,9,S2,1
fb_01,B20631,9,S3,1
fb_02,B20673,9,S3,1
ld_01,B20673,9,S3,1
pr_01,B18200,9,S3,1
sk_01,B20673,9,S3,1
sk_02,B21443,9,S3,1
fb_01,B20673,10,S1,1
fb_02,B20673,10,S1,1
ld_01,B20673,10,S1,1
pr_01,B21443,10,S1,1
sk_01,B21443,10,S1,1
sk_02,B18200,10,S1,1
fb_01,B21443,10,S2,1
fb_02,B20673,10,S2,1
ld_01,B20673,10,S2,1
pr_01,B20673,10,S2,1
sk_01,B20673,10,S2,1
sk_02,B18200,10,S2,1
fb_01,B31203,10,S3,1
fb_02,B20673,10,S3,1
ld_01,B21443,10,S3,1
pr_01,B18200,10,S3,1
sk_01,B20673,10,S3,1
sk_02,B21443,10,S3,1
fb_01,B18200,11,S1,1
fb_02,B20673,11,S1,1
ld_01,B18200,11,S1,1
pr_01,B20673,11,S1,1
sk_01,B20673,11,S1,1
sk_02,B21443,11,S1,1
fb_01,B20631,11,S2,1
fb_02,B20673,11,S2,1
ld_01,B20673,11,S2,1
pr_01,B21443,11,S2,1
sk_01,B20673,11,S2,1
sk_02,B21443,11,S2,1
fb_01,B20673,11,S3,1
fb_02,B20673,11,S3,1
ld_01,B20673,11,S3,1
pr_01,B18200,11,S3,1
sk_01,B21443,11,S3,1
sk_02,B21443,11,S3,1
fb_01,B21443,12,S1,1
fb_02,B20673,12,S1,1
